Names,Status,Error,Publications,No of Faculty Members,Mean Cites,Median Cites,Citation 5year Mean,Citation 5year Median,H-index 5year Mean,H-index 5year Median,I10 5year Mean,I10 5year Median,Mediancites:MeanCites,Citation 5y Mean:MeanCites,Citation 5y Mean:MedianCites,Citation 5y Median:MeanCites,Citation 5y Median:MedianCites,Citation 5y Median:Citation 5y Mean,Mean 5y Hindex:MeanCites,Mean 5y Hindex:MedianCites,Mean 5y Hindex:Citation 5y Mean,Mean 5y Hindex:Citation 5y MedianCites,Median 5y Hindex:MeanCites,Median 5y Hindex:MedianCites,Median 5y Hindex:Citation 5y Mean,Median 5y Hindex:Citation 5y MedianCites,Median 5y Hindex:Citation 5y H-indexMeanCites,I10 5year Mean:MeanCites,I10 5year Mean:MedianCites,I10 5y Mean:Citation 5y Mean,I10 5y Mean:Citation 5y MedianCites,I10 5y Mean:Citation 5y H-index Mean,I10 5y Mean:Citation 5y H-index Median,
york.ac.uk(dual),Complete,Difference in profiles (excel:1502) (folder:1500),,1502,1902,322,901,227,10,7,15,6,,,,,,,,,,,,,,,,,,,,,,
writtle.ac.uk,Complete,,,3,579,439,357,302,8,9,7,8,,,,,,,,,,,,,,,,,,,,,,
yorksj.ac.uk,Complete,,,80,173,73,127,63,4,4,3,2,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
courtauld.ac.uk,Complete,,,10,261,19,146,12,4,1,6,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
london.edu,Complete,,,152,3905,864,1742,503,12,9,15,9,,,,,,,,,,,,,,,,,,,,,,
rvc.ac.uk,Complete,,,172,1709,493,944,358,12,10,21,10,,,,,,,,,,,,,,,,,,,,,,
wales.ac.uk,Complete,,,4,8570,44,5333,39,20,3,87,2,,,,,,,,,,,,,,,,,,,,,,
trinitylaban.ac.uk,Complete,,,4,582,179,385,121,8,5,12,3,,,,,,,,,,,,,,,,,,,,,,
rca.ac.uk,Complete,,,95,112,20,81,17,3,2,2,0,,,,,,,,,,,,,,,,,,,,,,
ram.ac.uk,Complete,,,2,223,223,64,64,4,4,2,2,,,,,,,,,,,,,,,,,,,,,,
ww1.sruc.ac.uk,No profiles found,did'nt match,NIL,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
cssd.ac.uk,Complete,,,12,60,39,49,34,3,3,2,1,,,,,,,,,,,,,,,,,,,,,,
gsa.ac.uk,Complete,,,20,274,31,138,14,4,2,3,0,,,,,,,,,,,,,,,,,,,,,,
heythrop.ac.uk,Complete,,,1,262,262,151,151,5,5,3,3,,,,,,,,,,,,,,,,,,,,,,
gsmd.ac.uk,Complete,,,4,7303,1104,2527,760,18,13,37,17,,,,,,,,,,,,,,,,,,,,,,
rcs.ac.uk,Complete,,,5,52,50,33,31,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,
rncm.ac.uk,Complete,,,3,968,232,564,215,12,8,14,7,,,,,,,,,,,,,,,,,,,,,,
rcm.ac.uk,Complete,,,8,1022,383,617,185,10,6,14,5,,,,,,,,,,,,,,,,,,,,,,
harper-adams.ac.uk,Complete,,,42,1779,532,903,310,11,8,18,8,,,,,,,,,,,,,,,,,,,,,,
arts.ac.uk,Complete,,,95,497,75,274,48,5,3,5,1,,,,,,,,,,,,,,,,,,,,,,
nua.ac.uk,No profiles found,did'nt match,NIL,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
rau.ac.uk,Complete,,,19,1359,448,834,267,11,8,17,7,,,,,,,,,,,,,,,,,,,,,,
bruford.ac.uk,Complete,,Done,2,26,26,20,20,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,
aub.ac.uk,Complete,,,7,235,74,114,72,4,5,3,1,,,,,,,,,,,,,,,,,,,,,,
uca.ac.uk,Complete,,,12,100,21,55,14,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,
stran.ac.uk,No profiles found,did'nt match,NIL,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
stmarys-belfast.ac.uk,No profiles found,did'nt match,NIL,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
